company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
"Paragon Landscape Construction, Inc.",Landscape construction   ,WBE,SBE,,Yes,Yes,"62 Industrial Way, Hanover, MA 2339",Hanover,MA,2339,Stephanie Reid,,(781) 834-1000,(781) 834-3331,sherry@paragonlandscape.com,,Corporation,Yes,01/01/1992,20-Nov,LA - Landscaping Contractors,,,238910 - Site Preparation Contractors,561730 - Landscaping Services,,,,
"PartyServers, Inc.",Temporary staffing; temp-to-permanent; direct hire; executive search; contract consulting; recruitment and placement,WBE,,,Yes,Yes,"566 Commonwealth Avenue, Suite L100, Boston, MA 2215",Boston,MA,2215,Patrice Miller,,(617) 236-8200,,pmiller@peakhospitalitystaffing.com,,Corporation,No,01/01/2003,Less than 10,"EM - Employement (see also OS, TR)","OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",,561311 - Employment Placement Agencies ,,,,,
Patricia Cleaning,"Residential, Commercial and Construction Cleaning   ",MWBE,SBE,,No,No,"31 Woodcock Avenue, Haverill, MA 1832",Haverill,MA,1832,Santa Sloane,"Santa Sloane, Owner",(978) 645-1226,,patriciacleaning50@gmail.com,,Sole Proprietorship,No,01/01/2016,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,561720 - Janitorial Services ,561790 - Other Services to Buildings and Dwellings ,561740 - Carpet and Upholstery Cleaning Services,47130000 - Cleaning and janitorial supplies,76110000 - Cleaning and janitorial services,
"Peabody Properties, Inc.","Real estate management, development and brokerage; and resident services   ",WBE,,,Yes,Yes,"536 Granite Street, Braintree, MA 2185",Braintree,MA,2185,Karen Fish-Will,,(781) 794-1000,(781) 794-1001,karen@peabodyproperties.com,,Corporation,No,01/01/1976,Greater than 100,"RE - Real Estate (Development, Management, Sales and Appraisals)",RS - Residential Services,,531210 - Offices of Real Estate Agents and Brokers,531390 - Other Activities Related to Real Estate ,531210 - Offices of Real Estate Agents and Brokers,80130000 - Real estate services,,
"Peak Technology Solutions, Inc.",IT/GIS services,MBE,SBE,,Yes,No,"1627 K Street, NW, Suite 400, Washington, DC 20006",Washington,DC,20006,Mohammad Tariq,,(202) 776-7196,(301) 260-2184,info@peaktsinc.com,,Corporation,No,01/01/2002,Less than 10,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COS - Consultants: Systems Analysis,COT - Consultants: Telecommunications,541511 - Custom Computer Programming Services ,541512 - Computer Systems Design Services ,541370 - Surveying and Mapping (except Geophysical) Services,,,
Perry s Catering,Caterers   ,MBE,SLBE,,No,Yes,"499B Washington Street, Dorchester, MA 2124",Dorchester,MA,2124,Kenneth Perry,,(617) 413-8732,(800) 799-2110,prryperrys@aol.com,,Corporation,No,,Less than 10,CT - Catering,,,722320 - Caterers,,,,50190000 - Prepared and preserved foods,
"Persistence Plus, LLC",Behavioral nudges delivered by text message to support learners to degrees; consulting and training related to college competency,WBE,,,No,No,"43 Soley Street, #1, Charlestown, MA 2129",Charlestown,MA,2129,Jill Frankfort,,(617) 337-2622,,info@persistenceplusnetwork.com,,Limited Liability Company,No,01/01/2011,Less than 10,"ED - Education (see also OS, TA)",TA - Training (see also ED),"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",611710 - Educational Support Services,541611 - Administrative Management and General Management Consulting Services ,"518210 - Data Processing, Hosting, and Related Services",86130000 - Specialized educational services,,
Phoenix General Services,Commercial cleaning and general services,MBE,,,Yes,No,"20 Washington Street, Suite 517, Brighton, MA 2135",Brighton,MA,2135,Ronald Taylor,,(508) 840-7674,,pgs9083@gmail.com,,Sole Proprietorship,No,01/01/2016,Less than 10,"MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)","JA - Janitorial Services/Supplies (see also MA, RS)",,561720 - Janitorial Services ,,,,,
Pillar Search and HR Consulting,"Executive search, recruiting, human resource consulting",WBE,,,No,Yes,"389 Beacon Street, #9, Boston, MA 2116",Boston,MA,2116,Cynthia Joyce,,(617) 529-7708,,cindy@pillarsearch.com,,Sole Proprietorship,No,01/01/2015,Less than 10,COG - Consultants: Human Resources,"EM - Employement (see also OS, TR)",BU - Business Management Consultants,541612 - Human Resources Consulting Services ,,,80110000 - Human resources services,,
"PJ Systems, Inc. dba HiQ Computers","Computer hardware, peripherals and related services",MBE,,,Yes,Yes,"477 Riverside Avenue, Medford, MA 2155",Medford,MA,2155,Jane Sheng,,(617) 951-4650,(617) 951-4651,bsheng@hiq.com,,Corporation,No,01/01/1996,20-Nov,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,,,43210000 - Computer Equipment and Accessories,,
"PMA Consultants, LLC",Construction management consulting firm which provides project management; project and cost control; and claims and dispute resolution services to various sectors including; educational and commercial facilities; life sciences; hospitality; industrial; tr   ,MBE,,,Yes,Yes,"25 Braintree Hill Office Park, Braintree, MA 2184",Braintree,MA,2184,"Gui Ponce de Leon,P.E.",,(781) 794-1404,(781) 794-1405,info@pmaconsultants.com,,Corporation,No,01/01/1971,Greater than 100,COM - Consultants: Management,,CE - Construction Estimating,,,,,,
Premium Insulation Services,"HVAC, plumbing, mechanical, insulation contractor",MBE,SLBE,,No,Yes,"58 Sanford Street, Boston, MA 2126",Boston,MA,2126,Asive Osborne,,(617) 792-6978,,asiveosborne@gmail.com,,Sole Proprietorship,Yes,01/01/2007,Less than 10,"ME - Mechanical Contractors (HVAC, Plumbing, Insulation, Service, see also GC, PB)",PB - Plumbing,,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",238310 - Drywall and Insulation Contractors ,,,,
Pressed for Time Printing dba ProPrint,Printing and copying services   ,,SLBE,,No,No,"133 South Street, Boston, MA 2111",Boston,MA,2111,Joseph Arthur,,(617) 267-4113,,orders@proprintboston.com,,Sole Proprietorship,No,01/01/1994,21 - 40,PT - Printers,,,,,,55100000 - Printed media,82121500 - Printing Services,
"Prestige Construction, LLC",Kitchen remodel; bathroom; roof; siding; decks; windows; doors; foundations   ,MBE,SLBE,,No,No,"1295 River Street, Hyde Park, MA 2136",Hyde Park,MA,2136,Josue Soto,,(617) 652-6853,,jsoto@prestigeconstructionllc.com,,Limited Liability Company,Yes,01/01/2018,Less than 10,GC - General Contractors,CA - Carpentry,CM - Concrete & Masonry Contractors,236118 - Residential Remodelers ,,,,,
"Prime Time Sports, Inc.","Sporting apparel, footwear and equipment, embroidery and screen printing; promotional items",WBE,,,No,Yes,"678 Andover Street, Suite 2, Lawrence, MA 1843",Lawrence,MA,1843,Patricia Vetrano,,(978) 688-3300,(978) 688-3302,pvetrano@ptsteam.com,,Corporation,No,01/01/1995,21 - 40,AL - Apparel,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,451110 - Sporting Goods Stores ,323113 - Commercial Screen Printing ,,49160000 - Field and court sports equipment,,
Prince Street Ltd.,Full service catering;   ,WBE,SLBE,,No,No,"8 Perkins Street, Jamaica Plain, MA 2130",Jamaica Plain,MA,2130,Laura Edelstein,,(617) 983-0440,,laurathecaterer@aol.com,,Corporation,No,01/01/1984,20-Nov,CT - Catering,"CS - Concession Stands (Food, Newspa[er, Cigarettes, etc.)",,722320 - Caterers,,,,,
"Prive Parking, LLC",Valet parking   ,MBE,SLBE,,No,Yes,"409 Dudley Street, Boston, MA 2119",Boston,MA,2119,Ricardo Pierre-Louis,,(508) 326-6929,,ricardo@priveparkingboston.com,,Limited Liability Company,No,01/01/2012,21 - 40,"PK - Parking Lot (Mgmt., Maintenance)",,,812930 - Parking Lots and Garages ,,,,,
"PRWT Services, Inc.",Business process outsourcing and facilities management,MBE,,,Yes,No,"1835 Market Street, Philadelphia, PA 19103",Philadelphia,PA,19103,Malik Majeed,,(215) 569-8810,(215) 569-9893,nequel.armstead@prwt.com,,Corporation,No,01/01/1988,Greater than 100,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COM - Consultants: Management,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",541611 - Administrative Management and General Management Consulting Services ,,,,,
Pure Colors,"Painting,contractor, residential and commercial, interior and exterior; carpentry, tile and masonry.   ",WBE,SBE,,Yes,Yes,"374 River Road, Hudson, MA 1749",Hudson,MA,1749,Mirela DoValle,,(978) 562-7873,,mirela@purecolorsllc.com,,Limited Liability Company,Yes,01/01/2015,Less than 10,PA - Painting and Papering Contractors,CA - Carpentry,CM - Concrete & Masonry Contractors,238320 - Painting and Wall Covering Contractors,238340 - Tile and Terrazzo Contractors,238140 - Masonry Contractors ,,,
"Q.E.D., Inc. dba QED National",IT staffing and reselling services   ,WBE,,,Yes,No,"350 7th Avenue, New York, NY 10001",New York,NY,10001,Colleen Molter,,(212) 481-6868,(212) 481-0414,cmolter@quenational.com,,Corporation,No,01/01/1993,41 - 100,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)","EM - Employement (see also OS, TR)",,561320 - Temporary Help Services,541512 - Computer Systems Design Services ,541513 - Computer Facilities Management Services ,,,
"Qlarion, Inc.",Business intelligence consulting services   ,,SBE,,No,Yes,"12007 Sunrise Valley Drive, Reston, VA 20191",Reston,VA,20191,Jake Bittner,,(703) 248-9942,(703) 260-6362,jbittner@qlarion.com,,Corporation,No,01/01/2001,21 - 40,COM - Consultants: Management,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COS - Consultants: Systems Analysis,541511 - Custom Computer Programming Services ,541512 - Computer Systems Design Services ,541519 - Other Computer Related Services,,,
"R.J. Flooring, Inc.",Commercial floor covering   ,MBE,SBE,,Yes,No,"P.O. Box 3004, South Attleboro, MA 2703",South Attleboro,MA,2703,Ron James,,(401) 345-3567,(508) 761-4925,rjamesflooring@gmail.com,,Corporation,Yes,01/01/1996,Less than 10,"FL - Floor Contractors (Carpet, Tile, Linoleum)",,,238330 - Flooring Contractors,,,,,
Rafanelli Events,"Events planner:  event design, management and production services   ",,SLBE,,No,No,"867 Boylston Street, Boston, MA 2116",Boston,MA,2116,Bryan Rafanelli,,(617) 357-1818,,,,Sole Proprietorship,No,,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,561920 - Convention and Trade Show Organizers,"711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ",,,,
"Raj Technologies, Inc.","Business and IT consulting; application development,; systems integration; data and network management; document imaging services; web-based solutions   ",MBE,,,No,No,"110 Terminal Drive, Plainview, NY 11803",Plainview,NY,11803,Raj Mehta,,(516) 828-9494,(516) 576-9499,rajm@rajechny.com,,Corporation,No,01/01/1990,41 - 100,COS - Consultants: Systems Analysis,COP - Consultants: Public Relations,,,,,,,
"Rapport International, LLC",Foreign language translation and interpretation   ,WBE,SBE,,No,Yes,"93 Moore Road, Sudbury, MA 1776",Sudbury,MA,1776,Wendy Pease,,(978) 443-2540,,wendypease@rapportintl.com,,Limited Liability Company,No,01/01/2004,Less than 10,COV - Consultants: Translation,,,541930 - Translation and Interpretation Services,,,,,
"Razz-M-Tazz Promotions, LLC",Imprinted promotional products; embroidered and silkscreened apparel; awards; gifts; incentives; safety clothing; trade show items; posters; banners and flags; print material; etc.   ,WBE,SBE,,Yes,Yes,"P.O. Box 620, Westminster, MA 1473",Westminster,MA,1473,Gail Sabettini,,(877) 874-0502,(978) 874-1057,gail@razz-m-tazz.com,,Sole Proprietorship,No,01/01/2002,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,AL - Apparel,,454390 - Other Direct Selling Establishments ,,,82121500 - Printing Services,,
"Refinishing Oracle, LLC, The",Furniture refinishing; repairs; restoration; architectural salvage pieces; antiques; furniture insurance claims; custom furniture makers   ,MWBE,SBE,,Yes,No,"1094 Main Street, Acushnet, MA 2743",Acushnet,MA,2743,Maria Gonzalez,,(508) 985-0000,(508) 298-2251,therefinishingoracle@gmail.com,,Limited Liability Company,No,01/01/2017,Less than 10,"FR - Furniture (Repair, Refinishing, Sales) see also OF",,,442110 - Furniture Stores ,,,,,
"Resource Connection, Inc., The","Employment services:  temporary staffing, temp-to-hire, and direct hire of office support and administrative personnel   ",WBE,SBE,,Yes,Yes,"161 South Main Street, Middleton, MA 1949",Middleton,MA,1949,Janet Santa Anna,,(978) 777-9333,(978) 777-3360,janet@resource-connection.com,,Corporation,No,01/01/1987,Less than 10,"EM - Employement (see also OS, TR)","OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",,561320 - Temporary Help Services,,,,,
"Risk Management Solutions of America, Inc","Insurance:  back office support services-TPA, call center, insurance claims & investigations, managed care, bill review, wholesale brokerage, risk management consulting, enrollment services, safety loss control, fraud detection   ",MBE,SBE,,No,No,"309 W. Washington, Chicago, IL 60606",Chicago,IL,60606,Bennie Jones,,(312) 960-6200,(312) 960-1920,bjones@rmsoa.com,,Corporation,No,01/01/1996,Less than 10,"COH - Consultants: Health, Psychological",COI - Consultants: Insurance & Financial,COM - Consultants: Management,524291 - Claims Adjusting ,524298 - All Other Insurance Related Activities ,,,,
"Rivera Consulting, Inc.",Management consulting; coaching and strategy,MWBE,,,Yes,Yes,"199 Almont Street, Boston, MA 2126",Boston,MA,2126,Wilnelia Rivera,,(617) 877-9392,,wilnelia@riveraconsult.com,,Corporation,No,01/01/2017,Less than 10,COM - Consultants: Management,,,541618 - Other Management Consulting Services ,,,,,
"RND Consultants, Inc.","Real Estate Consulting, Engineering Consulting, and Project Management Services",WBE,,,Yes,Yes,"105 Beach Street, Boston, MA 02111",Boston,MA,02111,Janice Bergeron,,(617) 816-9836,,janicebergeron@rndconsultants.net,www.rndconsultants.net,Corporation,No,01/01/2017,Less than 10,"COA - Consultants: Architecture, Engineering","RE - Real Estate (Development, Management, Sales and Appraisals)",COU - Consultants: Transportation,541611 - Administrative Management and General Management Consulting Services ,541330 - Engineering Services,531390 - Other Activities Related to Real Estate ,80130000 - Real estate services,81100000 - Professional engineering services,
"Robinson Deabler Architects, Inc.",Architectural design services   ,,SLBE,,No,Yes,"535 Albany Street, Boston, MA 2114",Boston,MA,2114,Eric Robinson,,(617) 422-0090,,shelley@rodearchitects.com,,Corporation,No,01/01/2007,21 - 40,AE - Architects/Engineers,,,541310 - Architectural Services,,,,,
Rocha GC LLC,Attorney and legal services; discrimination/harassment defense; contract review; legal counsel; HR policies and training,MBE,,,Yes,No,"47 Atwill Road, West Roxbury, MA 2132",West Roxbury,MA,2132,William Rocha,,(617) 419-2028,(617) 419-1083,wrocha@rochagc.com,,Limited Liability Company,No,01/01/2018,Less than 10,AT - Attorneys,,,541110 - Offices of Lawyers,,,,,
"Rosie's Bakery, ERRG LLC",Cookie dough; cookies; bakery items,WBE,,,No,No,"144 Harwich Road, Newton, MA 2467",Newton,MA,2467,Galina Laffer,,(781) 799-7137,,galinamaster@yahoo.com,,Limited Liability Company,No,01/01/2016,Less than 10,"FD - Food Products, Services",RT - Retail Sales of Art & Framing,,311821 - Cookie and Cracker Manufacturing ,,,,,
"Rosies Place, Inc. Womens Craft Cooperative",Jewelry and desktop assessories   ,MWBE,SLBE,,No,Yes,"889 Harrison Avenue, Boston, MA 2118",Boston,MA,2118,Sue Marsh,,(617) 442-9322,,smariono@rosiesplace.org,,Non Profit,No,01/01/1974,20-Nov,MU - Manufacturers,,,,624310 - Vocational Rehabilitation Services ,,,,
Rowe Resources,Event planning and non-profit management   ,WBE,SLBE,,No,No,"18 Tremont Street, Boston, MA 2108",Boston,MA,2108,Cindy Rowe,,(617) 742-1836,,,,Sole Proprietorship,No,,Less than 10,,,,561920 - Convention and Trade Show Organizers,561110 - Office Administrative Services,,,,
Royal Label and Printing Company,"Pressure sensitive labels, decals and tags   ",,SLBE,,No,Yes,"50 Park Street, Dorchester, MA 2122",Dorchester,MA,2122,"Paul Clifford, Jr.",,(617) 825-6050,,pdc@royallabel.com,,Sole Proprietorship,No,,Less than 10,PT - Printers,,,,541870 - Advertising Material Distribution Services,,55100000 - Printed media,,
S. Barzola Concrete Corp.,"Concrete:  walkways, HC ramps, stairs, foundations, concrete for elevators, retainer walls, etc.; painting:  interior; bricks, caulking joints   ",MWBE,SBE,,No,Yes,"1183 Main Street, Weymouth, MA 2190",Weymouth,MA,2190,Sonia Barzola,,(781) 817-6485,(781) 817-6547,info@sbarzolaconcretecorp.com,,Corporation,Yes,01/01/2013,Less than 10,CM - Concrete & Masonry Contractors,PA - Painting and Papering Contractors,,238320 - Painting and Wall Covering Contractors,238110 - Poured Concrete Foundation and Structure Contractors ,,,,
S.O.S. Corporation,Construction cleaning for union companies   ,WBE,,,Yes,Yes,"331 West Street, Milford, MA 1757",Milford,MA,1757,Cindy Oldfield,,(508) 473-0466,(508) 478-4049,coldfield@soscorp.net,,Corporation,Yes,01/01/1990,Less than 10,"MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,,238990 - All Other Specialty Trade Contractors,,,,,
"saam architecture, LLC",Architectural design; master planning; interior design services   ,WBE,SLBE,,Yes,Yes,"655 Summer Street, Boston, MA 2210",Boston,MA,2210,Diana Nicklaus,,(617) 275-4453,,diana@saam-arch.com,,Limited Liability Company,No,01/01/2014,20-Nov,AE - Architects/Engineers,IT - Interior Deisgn Services,,541330 - Engineering Services,541410 - Interior Design Services,,,,
"Saint James Real Estate Advisers, LLC","Commercial real estate leasing, sales, advisory services",WBE,,,Yes,Yes,"101 Federal Street, Suite 1900, Boston, MA 2110",Boston,MA,2110,Lisa DonFrancesco,,(617) 737-1776,,ldf@saintjamesrea.com,,Limited Liability Company,No,01/01/2004,Less than 10,"RE - Real Estate (Development, Management, Sales and Appraisals)",,,531210 - Offices of Real Estate Agents and Brokers,,,80130000 - Real estate services,,
"Sally Muspratt Landscape Design, Inc.",Landscape design; and lecturer   ,WBE,SLBE,,No,No,"10 Linnet Street, West Roxbury, MA 2132",West Roxbury,MA,2132,Sally Muspratt,,(617) 327-2401,,,,Corporation,No,01/01/1996,Less than 10,"LD - Landscaping (Design, Architects)","ED - Education (see also OS, TA)",,541320 - Landscape Architectural Services,,,,,
Samson Aluminum Door & Window,"Manufacturer, distributor & installer of thermal aluminum, vinyl and wood-clad replacement windows and doors and security screens, and replacement parts   screens, and replacement parts",WBE,,,No,Yes,"21 Drydock Avenue, Boston, MA 2210",Boston,MA,2210,Andrea Hadaya,,(617) 443-9400,(617) 443-9494,rentals@hadocmanagement.com,,Corporation,Yes,01/01/1967,Less than 10,MU - Manufacturers,GG - Glass/Glazing Contractors,GC - General Contractors,,,,,,
SCAPE Landscape Architecture D.P.C.,"Landscape architecture, urban design, coastal resilience planning",WBE,,,No,Yes,"277 Broadway, Ninth Floor, New York, NH 10007",New York,NH,10007,Katherine Orff Horodniceanu,,(212) 462-2628,,kate@scapestudio.com,,Corporation,No,01/01/2016,21 - 40,"LD - Landscaping (Design, Architects)",COD - Consultants: Design,CON - Consultants: Environmental,541320 - Landscape Architectural Services,,,,,
"Scott's Industrial Commercial Painting, Inc.",Interior and exterior painting; wall covering; spray paint; epoxy; floors,MBE,SLBE,,No,Yes,"4 Wabon Street, Dorchester, MA 2121",Dorchester,MA,2121,Harvey Johnson,,(347) 482-3974,,scottsindustrialpainting@gmail.com,,Corporation,No,01/01/2018,Less than 10,PA - Painting and Papering Contractors,,,238320 - Painting and Wall Covering Contractors,,,,,
"Seacoast Asphalt Services, Inc.",Supply and delivery of asphalt products and aggregates   ,WBE,SBE,,Yes,No,"P.O. Box 98, Hatfield, MA 1038",Hatfield,MA,1038,Jennifer Nicolai,,(413) 773-9247,(413) 247-0232,jenn.nicolai@gmail.com,,Corporation,Yes,01/01/1992,20-Nov,PV - Paving Contractors,TK - Trucking (Waste Disposal Commodities Transport),EP - Equiment Rental (Heavy Construction),"237310 - Highway, Street, and Bridge Construction ","484220 - Specialized Freight (except Used Goods) Trucking, Local ",,,,
Seasons Catering,Catering services,WBE,,,Yes,Yes,"11 Wolcott Court, Boston, MA 2136",Boston,MA,2136,Sheila Sullivan,,(617) 333-4334,,sheila@seasonsofboston.com,,Corporation,No,01/01/2008,Less than 10,CT - Catering,,,,,,90100000 - Restaurants and catering,,
Sekada Consulting,IT and information security consulting,MBE,,,Yes,Yes,"40 Old Morton Street, Boston, MA 2126",Boston,MA,2126,Gregory Johnson,,(781) 281-5304,,greg@sekadaconsulting.com,,Limited Liability Company,No,01/01/2019,Less than 10,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COS - Consultants: Systems Analysis,,541512 - Computer Systems Design Services ,,,,,
"Self Esteem Boston Educational Institute, Inc.","Staff development; training in diversity, self esteem; direct client services; recovery support services   ",WBE,,,Yes,Yes,"P.O. Box 301155, Jamaica Plain, MA 2130",Jamaica Plain,MA,2130,Marion Davis,,(617) 983-1111,(617) 522-3676,empowermail@selfesteemboston.com,,Corporation,No,01/01/1993,Less than 10,TA - Training (see also ED),"ED - Education (see also OS, TA)",,611710 - Educational Support Services,,,,,
"Sendent Energy, LLC","Supply and distribution of gasoline, diesel, jet fuel, propane, heating oil   ",MBE,SLBE,,No,No,"177 Huntington Avenue, Boston, MA 2115",Boston,MA,2115,James Francis,"James Francis, Owner",(844) 736-3368,(844) 866-9500,james.francis@sendentenergy.com,,Limited Liability Company (LLC),No,01/01/2017,Less than 10,PP - Petroleum Products (Sales/Service),,,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) ,425120 - Wholesale Trade Agents and Brokers ,221210 - Natural Gas Distribution ,23110000 - Petroleum processing machinery,,
"Seoane Landscape Design, Inc","Landscape contractors, trees, shrubs; wholesale suppliers of loam, sand and gravel, masonry products; hydroseeding; nursery and garden center; excavation; trucking; snow plowing",MBE,,,Yes,Yes,"551 Bedford Street, Abington, MA 2351",Abington,MA,2351,David Seoane,Luis A Seoane President,(781) 878-1306,(781) 871-2740,dave@seoanelandscape.com,,Corporation,Yes,01/01/1975,41 - 100,LA - Landscaping Contractors,"LD - Landscaping (Design, Architects)",,541320 - Landscape Architectural Services,238140 - Masonry Contractors ,"444220 - Nursery, Garden Center, and Farm Supply Stores ",10210000 - Live plants of high species or variety count flowers,,
"Seventeenth Addition, LLC","Provide Strategy, Analytics and Operational Consulting Services to State and Local Government as Well as Related Service Providers.",WBE,SBE,,Yes,No,"18 Bridge Street, Brooklyn, NY 11201",Brooklyn,NY,11201,Ann Rittgers,,(513) 304-0431,,annie@group17a.com,www.group17a.com,Limited Liability Company,No,01/01/2014,11 - 20,COM - Consultants: Management,BU - Business Management Consultants,,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,,80160000 - Business administration services,81160000 - Information Technology Service Delivery,
Shana Bryant Consulting,Event planning; workshops   ,MWBE,,,No,Yes,"32 Crawford Street, Dorchester, MA 2121",Dorchester,MA,2121,Shana Bryant,,(781) 888-8162,,shana@shanabryantconsulting.com,,Sole Proprietorship,No,01/01/2018,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,812990 - All Other Personal Services ,,,,,
Sharp Cleaning Company,"General cleaning, commercial, residential, disinfectant",MWBE,SBE,,No,No,"364 Pleasant Street, Brockton, MA 2301",Brockton,MA,2301,Alcinda James,,(508) 631-8338,,sharpcleaning0916@gmail.com,,Sole Proprietorship,No,01/01/2019,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",RS - Residential Services,561720 - Janitorial Services ,,,,,
"Shawmut Environmental, LLC","Environmental and safety consulting, including compliance,auditing and training   ",WBE,SLBE,,No,No,"23 Samoset Street, Dorchester, MA 2124",Dorchester,MA,2124,Ardis Vaughan,,(617) 981-5201,,ardisvaughan@gmail.com,,Limited Liability Company,No,01/01/2011,Less than 10,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",CON - Consultants: Environmental,TA - Training (see also ED),541620 - Environmental Consulting Services,,,,,
Shen Milson & Wilke,"Consulting, design and technical expertise in multimedia/audiovisual IT, telecom, security, acoustics and medical equipment planning   ",MBE,,,No,No,"417 5th Avenue, New York, NY 10016",New York,NY,10016,Thomas Shen,,(212) 725-6800,(212) 725-0864,glepkoski@smwllc.com,,Partnership,No,01/01/1986,Greater than 100,AE - Architects/Engineers,,,541330 - Engineering Services,,,,,
"Silverweave, Inc.",Event Planning   ,WBE,SLBE,,No,No,"75 Arlington Street, 5th Floor, Boston, MA 2116",Boston,MA,2116,Shayne Gilbert,,(833) 437-1400,,sgilbert@silverweave.com,,Corporation,No,01/01/1994,Less than 10,MK - Marketing,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COP - Consultants: Public Relations,561920 - Convention and Trade Show Organizers,,,,,
Sir Speedy Printing,"A printer with 37 years of experience in offset printing, black and white and full color digital printing, graphic design, typesetting and bindery to create high quality letterhead, envelopes, business cards, reports, brochures, posters, variable data pro   ",,SLBE,,No,Yes,"One Milk Street, Boston, MA 2109",Boston,MA,2109,Matt Lynch,,(617) 227-2237,(617) 227-7611,matthew@sirspeedyboston.com,,Corporation,No,01/01/1976,20-Nov,PT - Printers,,,,,,55100000 - Printed media,82121500 - Printing Services,
Sitelab Urban Studio,Urban design and planning; community outreach; entitlements; design strategy   ,WBE,SBE,,No,No,"660 Mission Street, San Francisco, CA 94102",San Francisco,CA,94102,Laura Crescimano,,(415) 852-6940,,info@sitelaburbanstudio.com,,Limited Liability Company,No,01/01/2012,Less than 10,COB - Consultants: City Planning,COD - Consultants: Design,"LD - Landscaping (Design, Architects)",541490 - Other Specialized Design Services,,,,,
SJ Design dba Sydney Janey Design,Strategic brand; identity consultation; brand/ID; marketing; publishing and interactive design   ,MWBE,SLBE,,No,Yes,"151 Townsend Street, Boston, MA 2121",Boston,MA,2121,Sydney Janey,,(857) 230-0639,,creative@sydneyjaneydesign.com,,Sole Proprietorship,No,01/01/2007,Less than 10,COD - Consultants: Design,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,MK - Marketing,541430 - Graphic Design Services,541613 - Marketing Consulting Services ,541490 - Other Specialized Design Services,,,
"Skywave Communication, Inc.","Design, install and maintain public safety communications equipment and infrastructure   ",WBE,SBE,,No,No,"51 Goodway Drive, Rochester, NY 14623",Rochester,NY,14623,Elizabeth Patterson,,(585) 484-8400,(585) 491-6981,liz@skywave.org,,Corporation,No,01/01/1998,20-Nov,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COT - Consultants: Telecommunications,EL - Electrical Contractors,238210 - Electrical Contractors and Other Wiring Installation Contractors,541512 - Computer Systems Design Services ,541519 - Other Computer Related Services,,,
"Solomon Consulting Group, LLC",Information technology,MBE,,,Yes,Yes,"27 Pleasant Street, Hyde Park, MA 2136",Hyde Park,MA,2136,Aaron Wright,,(646) 345-1742,,aaron@solomongroupllc.com,,Limited Liability Company,No,01/01/2019,Less than 10,COS - Consultants: Systems Analysis,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",,541690 - Other Scientific and Technical Consulting Services,,,,,
"Soltrix Technology Solutions, Inc.",Consultants:  Custom software development; staff augmentation; and complete IT solutions   ,MBE,SBE,,Yes,No,"16 Thomas Newton Drive, Westboro, MA 1581",Westboro,MA,1581,Savitha Nandan,,(774) 293-1293,(866) 520-4756,,,Corporation,No,01/01/2007,21 - 40,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COD - Consultants: Design,,541511 - Custom Computer Programming Services ,541519 - Other Computer Related Services,,43230000 - Software,81160000 - Information Technology Service Delivery,
